,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2023-10-19 18:06:47,2023-10-19 17:07:50,21746,1261.0,12480,757,23309,740,7374,32126,2023-10-12 10:58:32,2.7.2,551797.0,5630.0,72,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",8240.0,8240.0,3031,43,True,1,,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2023-10-19 17:57:06,2023-10-19 16:00:01,4779,292.0,2880,204,5626,855,4540,13558,2023-10-13 15:00:44,3.5.0,2913685.0,104060.0,100,Workflow Engine for Kubernetes.,201.0,201.0,812,39,True,2,1.0,,
2,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2023-10-19 18:00:19,2023-10-19 17:02:20,4813,419.0,3505,292,6607,989,2225,15580,2023-09-17 21:48:08,2.7.1,,,75,Open source platform for the machine learning lifecycle.,25030.0,25030.0,656,37,True,1,,,
3,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2023-10-19 16:31:26,2023-10-19 16:31:26,9035,155.0,1072,135,5213,564,3926,12093,2023-10-18 19:59:54,3.27.0,38201.0,3183.0,100,Data Version Control | Git for Data & Models | ML Experiments Management.,10041.0,10041.0,289,37,True,1,-1.0,,
4,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2023-10-19 17:52:13,2023-10-19 16:48:59,5884,258.0,2423,304,3830,653,2994,27979,2023-10-03 23:30:45,1.27.2,,,66,Streamlit A faster way to build and share data apps.,1023.0,1023.0,201,35,True,1,1.0,['python'],
5,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2023-10-19 18:05:04,2023-10-19 17:56:10,5795,349.0,1563,139,2684,421,2532,22772,2023-08-23 23:33:20,3.41.0,,,100,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",15272.0,15272.0,215,35,True,1,,['python'],
6,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2023-10-19 17:46:40,2023-10-19 17:19:53,16186,1094.0,1055,102,10510,1692,4342,8671,2023-10-12 21:28:08,1.5.3,,,100,"An orchestration platform for the development, production, and observation of data assets.",1598.0,1598.0,350,35,True,2,,,
7,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2023-10-17 15:33:34,2023-10-11 14:14:05,7058,110.0,1869,415,997,745,830,19492,2023-10-11 15:59:34,2.14.0,,,63,Data Apps & Dashboards for Python. No JavaScript Required.,52855.0,52855.0,141,34,True,3,,['python'],
8,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2023-10-19 13:18:21,2023-10-19 12:10:12,1291,46.0,805,56,1567,324,1192,2526,2023-09-22 22:53:56,0.11.1,610864.0,12466.0,26,Standardized Serverless ML Inference Platform on Kubernetes.,242.0,242.0,215,34,True,1,,"['tensorflow', 'pytorch', 'onnx']",
9,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-10-19 15:55:38,2023-10-19 00:31:56,2502,37.0,2116,363,3553,174,3609,13063,2023-03-29 15:38:55,1.7.0,79114.0,1180.0,84,Machine Learning Toolkit for Kubernetes.,41.0,41.0,300,32,True,3,-1.0,,
