,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2023-06-22 17:58:18,2023-06-22 17:21:32,20114,883.0,12020,762,21435,690,6742,30686,2023-06-17 10:19:05,2.6.2,492419.0,5238.0,66,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",7148.0,7148.0,2875,43,True,1,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2023-06-22 17:15:11,2023-06-22 17:09:25,4402,214.0,2778,201,5131,837,4348,13063,2023-05-25 23:37:40,3.4.8,2071256.0,90054.0,100,Workflow engine for Kubernetes.,198.0,198.0,754,39,True,2,
2,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2023-06-22 15:39:13,2023-06-22 15:10:11,8821,236.0,1046,135,4997,565,3774,11670,2023-06-22 15:39:13,3.2.0,109990.0,5237.0,100,Data Version Control | Git for Data & Models | ML Experiments Management.,7969.0,7969.0,283,38,True,1,
3,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2023-06-22 17:44:25,2023-06-22 07:28:52,4198,352.0,3294,291,5695,963,1980,14635,2023-06-10 01:28:30,2.4.1,,,70,Open source platform for the machine learning lifecycle.,20580.0,20580.0,591,37,True,1,
4,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2023-06-22 18:00:26,2023-06-22 18:00:24,14788,1073.0,953,97,8809,1416,4081,7704,2023-06-22 17:57:53,1.3.11,,,100,"An orchestration platform for the development, production, and observation of data assets.",1283.0,1283.0,316,34,True,2,
5,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-06-21 11:18:05,2023-06-14 14:38:35,2458,19.0,2070,364,3437,305,3404,12677,2023-03-29 15:38:55,1.7.0,78712.0,1249.0,81,Machine Learning Toolkit for Kubernetes.,41.0,41.0,289,33,True,3,
6,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-06-21 11:18:05,2023-06-14 14:38:35,2458,19.0,2070,364,3437,305,3404,12677,2023-03-29 15:38:55,1.7.0,78712.0,1249.0,81,Machine Learning Toolkit for Kubernetes.,41.0,41.0,289,33,True,1,
7,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2023-06-22 07:54:48,2023-06-21 09:17:59,1226,88.0,763,55,1483,319,1108,2264,2023-03-05 20:28:14,0.10.1,362663.0,8059.0,22,Standardized Serverless ML Inference Platform on Kubernetes.,169.0,169.0,203,32,True,1,"['tensorflow', 'pytorch', 'onnx']"
8,Luigi,data-workflows,spotify/luigi,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38,2023-06-14 14:34:32,2023-05-04 09:47:52,4078,4.0,2282,482,2270,89,876,16596,2023-05-04 09:55:49,3.3.0,,,56,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",2154.0,2154.0,600,31,True,3,
9,Pachyderm,data-workflows,pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,Apache-2.0,2014-09-04 07:50:02,2023-06-22 18:01:17,2023-06-22 17:25:43,21810,189.0,546,162,5881,697,2385,5939,2023-06-22 16:50:05,2.6.4,22949.0,3278.0,100,Data-Centric Pipelines and Data Versioning.,,,178,31,True,3,
