,name,category,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,updated_github_id
0,Airflow,data-workflows,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58,2023-11-09 17:41:04,2023-11-09 17:41:04,22038,1228.0,12561,758,23615,765,7472,32339,2023-11-06 07:14:17,2.7.3,560509.0,5661.0,73,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows.",8441.0,8441.0,3061,43,True,1,,,
1,Argo,data-workflows,argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,Apache-2.0,2017-08-21 18:50:44,2023-11-09 11:25:45,2023-11-09 11:23:37,4832,276.0,2903,206,5697,888,4553,13651,2023-11-03 21:07:31,3.4.13,3000105.0,107146.0,100,Workflow Engine for Kubernetes.,205.0,205.0,817,39,True,2,,,
2,MLFlow (Tracking),mlops-experimentation-tracking,mlflow/mlflow,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58,2023-11-09 02:54:35,2023-11-08 21:28:34,4984,511.0,3548,291,6858,1026,2250,15775,2023-10-29 21:36:49,2.8.0,,,76,Open source platform for the machine learning lifecycle.,25795.0,25795.0,669,37,True,1,,,
3,dvc (Data Version Control),data-versioning,iterative/dvc,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33,2023-11-09 15:42:21,2023-11-09 15:41:37,9056,136.0,1087,137,5235,576,3932,12375,2023-10-31 05:02:18,3.28.0,41301.0,3177.0,100,ML Experiments Management with Git.,10419.0,10419.0,289,37,True,1,,,
4,Streamlit,data-visualization,streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52,2023-11-09 17:42:48,2023-11-09 17:34:40,5928,261.0,2457,308,3892,666,3036,28349,2023-11-03 00:23:33,1.28.1,,,68,Streamlit A faster way to build and share data apps.,1047.0,1047.0,204,35,True,1,['python'],,
5,Gradio,data-visualization,gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04,2023-11-09 17:16:42,2023-11-09 16:34:32,5883,362.0,1612,139,2866,436,2676,23310,2023-08-23 23:33:20,3.41.0,,,100,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",16420.0,16420.0,220,35,True,1,['python'],,
6,dagster,data-workflows,dagster-io/dagster,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04,2023-11-09 17:47:52,2023-11-09 17:36:47,16377,1085.0,1074,103,10746,1782,4398,8832,2023-11-02 20:29:51,1.5.6,,,100,"An orchestration platform for the development, production, and observation of data assets.",1658.0,1658.0,362,35,True,2,,,
7,Dash,data-visualization,plotly/dash,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08,2023-11-01 00:25:25,2023-10-26 19:38:28,7069,102.0,1885,415,1002,753,835,19599,2023-10-26 20:29:58,2.14.1,,,64,Data Apps & Dashboards for Python. No JavaScript Required.,53818.0,53818.0,142,34,True,3,['python'],,
8,KServe,model-serving,kserve/kserve,https://github.com/kserve/kserve,https://github.com/kserve/kserve,Apache-2.0,2019-03-27 21:14:14,2023-11-09 16:04:37,2023-11-07 13:22:42,1306,48.0,812,58,1597,315,1213,2568,2023-09-22 22:53:56,0.11.1,675948.0,13518.0,26,Standardized Serverless ML Inference Platform on Kubernetes.,257.0,257.0,220,34,True,1,"['tensorflow', 'pytorch', 'onnx']",1.0,
9,Kubeflow (Kubeflow Pipelines),data-workflows,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-11-06 18:55:40,2023-11-01 05:29:57,2514,37.0,2125,361,3579,178,3615,13128,2023-11-01 13:36:46,1.8.0,79155.0,1164.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,301,33,True,3,,1.0,
10,Kubeflow,mlops-end2end,kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,Apache-2.0,2017-11-30 18:44:19,2023-11-06 18:55:40,2023-11-01 05:29:57,2514,37.0,2125,361,3579,178,3615,13128,2023-11-01 13:36:46,1.8.0,79155.0,1164.0,89,Machine Learning Toolkit for Kubernetes.,41.0,41.0,301,33,True,1,,1.0,
11,Luigi,data-workflows,spotify/luigi,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38,2023-10-28 16:14:29,2023-10-25 23:50:29,4088,10.0,2281,479,2281,93,879,16890,2023-10-05 11:21:35,3.4.0,,,57,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",2234.0,2234.0,607,32,True,3,,,
12,Pachyderm,data-workflows,pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,Apache-2.0,2014-09-04 07:50:02,2023-11-09 17:52:41,2023-11-09 16:35:59,22148,228.0,555,163,6434,700,2387,5999,2023-11-03 21:10:52,2.5.9,28671.0,4095.0,100,Data-Centric Pipelines and Data Versioning.,,,188,32,True,3,,,
13,TensorFlow Serving,model-serving,tensorflow/serving,https://github.com/tensorflow/serving,https://github.com/tensorflow/serving,Apache-2.0,2016-01-26 21:48:20,2023-11-09 14:04:16,2023-11-09 14:04:13,8033,250.0,2115,240,740,45,1396,5969,2023-10-31 16:19:29,2.14.0,,,100,"A flexible, high-performance serving system for machine learning models.",22.0,22.0,222,31,True,2,['tensorflow'],,
14,BentoML,model-serving,bentoml/BentoML,https://github.com/bentoml/BentoML,https://github.com/bentoml/BentoML,Apache-2.0,2019-04-02 01:39:27,2023-11-09 16:19:49,2023-11-09 16:19:48,2684,99.0,650,73,3104,159,781,5877,2023-11-09 17:48:58,1.1.9,2118.0,38.0,94,Build Production-Grade AI Applications.,1359.0,1359.0,184,31,True,2,"['tensorflow', 'pytorch', 'onnx']",,
15,TorchServe,model-serving,pytorch/serve,https://github.com/pytorch/serve,https://github.com/pytorch/serve,Apache-2.0,2019-10-03 03:17:43,2023-11-09 06:40:33,2023-11-09 02:25:12,3585,122.0,761,56,1323,301,1148,3738,2023-10-13 00:21:43,0.9.0,5339.0,124.0,20,"Serve, optimize and scale PyTorch models in production.",536.0,536.0,177,31,True,2,['pytorch'],,
16,Triton Inference Server,model-serving,triton-inference-server/server,https://github.com/triton-inference-server/server,https://github.com/triton-inference-server/server,BSD-3-Clause,2018-10-04 21:10:30,2023-11-09 17:30:59,2023-11-08 23:16:46,3199,92.0,1254,133,3302,278,2857,6340,2023-10-27 15:48:15,2.39.0,204269.0,3404.0,60,The Triton Inference Server provides an optimized cloud and edge inferencing solution.,,,107,29,True,3,"['tensorflow', 'pytorch']",,
17,ClearML,mlops-experimentation-tracking,allegroai/clearml,https://github.com/allegroai/clearml,https://github.com/allegroai/clearml,Apache-2.0,2019-06-10 08:18:32,2023-11-09 15:02:05,2023-11-08 21:08:21,2241,61.0,601,91,239,391,508,4838,2023-11-08 21:09:23,1.13.2,1749.0,33.0,90,"ClearML - Auto-Magical CI/CD to streamline your ML workflow. Experiment Manager, MLOps and Data-Management.",783.0,783.0,88,29,True,3,,,
18,Metaflow,data-workflows,Netflix/metaflow,https://github.com/Netflix/metaflow,https://github.com/Netflix/metaflow,Apache-2.0,2019-09-17 17:48:25,2023-11-09 09:50:11,2023-11-03 13:46:45,804,61.0,634,275,1054,238,331,7127,2023-11-03 14:00:49,2.10.6,,,100,Build and manage real-life data science projects with ease!.,548.0,548.0,75,28,True,3,,,
19,voila,data-visualization,voila-dashboards/voila,https://github.com/voila-dashboards/voila,https://github.com/voila-dashboards/voila,,2018-08-21 14:21:42,2023-11-07 08:01:57,2023-11-07 08:01:55,1432,24.0,475,77,715,273,421,4975,2023-10-31 09:04:25,0.5.5,965.0,37.0,44,Voil turns Jupyter notebooks into standalone web applications.,10433.0,10433.0,67,28,False,3,,,
20,Seldon,model-serving,SeldonIO/seldon-core,https://github.com/SeldonIO/seldon-core,https://github.com/SeldonIO/seldon-core,Apache-2.0,2017-12-20 14:51:54,2023-11-02 14:35:48,2023-10-09 08:31:40,7304,7.0,775,85,2886,83,2180,3969,2023-08-17 09:13:00,1.17.1,709.0,10.0,62,"An MLOps framework to package, deploy, monitor and manage thousands of production machine learning models.",517.0,517.0,200,28,True,3,"['tensorflow', 'pytorch', 'onnx']",-1.0,
21,Labelimg,data-labelling,heartexlabs/labelImg,https://github.com/HumanSignal/labelImg,https://github.com/HumanSignal/labelImg,MIT,2015-09-17 01:33:59,2023-05-31 00:41:28,2022-09-22 22:12:32,449,,5807,393,242,397,363,20911,2018-12-03 05:40:38,1.8.1,,,2,LabelImg is now part of the Label Studio community. The popular image annotation tool created by Tzutalin is no longer..,1033.0,1033.0,109,27,False,1,,,HumanSignal/labelImg
22,sacred,mlops-experimentation-tracking,IDSIA/sacred,https://github.com/IDSIA/sacred,https://github.com/IDSIA/sacred,MIT,2014-03-31 18:05:29,2023-11-07 12:12:24,2023-11-07 12:12:24,1343,1.0,360,71,365,95,460,4110,2023-01-25 17:03:54,0.8.4,,,12,"Sacred is a tool to help you configure, organize, log and reproduce experiments developed at IDSIA.",2655.0,2655.0,105,25,True,3,,,
23,TFX,model-training,tensorflow/tfx,https://github.com/tensorflow/tfx,https://github.com/tensorflow/tfx,Apache-2.0,2019-02-04 17:14:36,2023-11-09 17:46:26,2023-11-08 09:11:46,5375,148.0,662,89,5540,34,842,2017,2023-09-06 18:31:57,1.14.0,,,91,TFX is an end-to-end platform for deploying production ML pipelines.,,,178,25,True,1,['tensorflow'],,
